Date,Product_ID,Product_Name,Transaction_Type,Units,Cumulative_Quantity
2021-06-29,1046028,Goodyear Tire & Rubber Co/The,BUY,322147.0,322147.0
2021-06-29,1046096,People's United Financial Inc,BUY,327210.0,327210.0
2021-06-29,1046023,Best Buy Co Inc,BUY,45430.0,45430.0
2021-06-29,1046015,Signet Jewelers Ltd,BUY,746741.0,746741.0
2021-06-29,1046030,Interpublic Group of Cos Inc/The,BUY,146481.0,146481.0
2021-06-29,1046238,Hewlett Packard Enterprise Co,BUY,356383.0,356383.0
2021-06-29,1048427,Berkshire Hathaway Inc,BUY,11.0,11.0
2021-06-29,1046776,Charter Communications Inc,BUY,6937.0,6937.0
2021-06-29,1048696,Cirrus Logic Inc,BUY,591295.0,591295.0
2021-06-29,1048430,CF Industries Holdings Inc,BUY,105813.0,105813.0
2021-06-29,1048434,DXC Technology Co,BUY,1290738.0,1290738.0
2021-06-29,1050464,Paycom Software Inc,BUY,129596.0,129596.0
2021-06-29,1050452,Manhattan Associates Inc,BUY,34136.0,34136.0
2021-06-29,1050440,Fair Isaac Corp,BUY,9080.0,9080.0
2021-06-29,1048785,Cheetah Mobile Inc,BUY,2220666.0,2220666.0
2021-06-29,1048741,Tanger Factory Outlet Centers Inc,BUY,2819667.0,2819667.0
2021-06-29,1046012,KeyCorp,BUY,262973.0,262973.0
2021-06-29,1046595,Arthur J Gallagher & Co,BUY,35159.0,35159.0
2021-06-29,1046011,Western Union Co/The,BUY,216956.0,216956.0
2021-06-29,1009087,Procter & Gamble Co/The,BUY,36259.0,36259.0
2021-06-29,1009080,Exxon Mobil Corp,BUY,87489.0,87489.0
2021-06-29,1045709,Eli Lilly & Co,BUY,20950.0,20950.0
2021-06-29,1045714,Simon Property Group Inc,BUY,39940.0,39940.0
2021-06-29,1045716,Abbott Laboratories,BUY,42253.0,42253.0
2021-06-29,1045719,Dow Chemical Co/The,BUY,82614.0,82614.0
2021-06-29,1045722,Broadcom Ltd,BUY,10489.0,10489.0
2021-06-29,1045723,Biogen Inc,BUY,15309.0,15309.0
2021-06-29,1045725,Thermo Fisher Scientific Inc,BUY,95261.0,95261.0
2021-06-29,1045743,FedEx Corp,BUY,168446.0,168446.0
2021-06-29,1045746,Bank of New York Mellon Corp/The,BUY,100270.0,100270.0
2021-06-29,1045757,McKesson Corp,BUY,25104.0,25104.0
2021-06-29,1045767,CME Group Inc,BUY,23865.0,23865.0
2021-06-29,1045775,Marsh & McLennan Cos Inc,BUY,34246.0,34246.0
2021-06-29,1045846,Marathon Petroleum Corp,BUY,772937.0,772937.0
2021-06-29,1045872,M&T Bank Corp,BUY,38735.0,38735.0
2021-06-29,1050479,Tyler Technologies Inc,BUY,10118.0,10118.0
2021-06-29,1045707,Union Pacific Corp,BUY,22758.0,22758.0
2021-06-29,1045701,Honeywell International Inc,BUY,21468.0,21468.0
2021-06-29,1045697,Mastercard Inc,BUY,13074.0,13074.0
2021-06-29,1045694,Medtronic PLC,BUY,39308.0,39308.0
2021-06-29,1009082,Microsoft Corp,BUY,17461.0,17461.0
2021-06-29,1009083,International Business Machines Corp,BUY,35509.0,35509.0
